TimeStep;Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
0.420005;10047;2448;2448;0;0;7599

Pos.x;Pos.y;Pos.z;Idp;Vel.x;Vel.y;Vel.z;Rhop;Mass;Press;Type;Acec.x;Acec.y;Acec.z;CellOffSpring;GradVel;Qfxx;Qfxy;Qfxz;Qfyy;Qfyz;Qfzz;StrainDot.x;StrainDot.y;StrainDot.z;VonMises3D;
  3.9999999E-02;  9.9999998E-03; -4.4999999E-01;1940;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -1.7336893E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -1.7189687E-07;  0.0000000E+00; -1.5617924E-06;  7.4094286E+00;
  5.0000001E-02;  9.9999998E-03; -4.4999999E-01;1970;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -2.7957440E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  1.6705391E-07;  0.0000000E+00; -2.9627979E-06;  2.9959173E+00;
  5.9999999E-02;  9.9999998E-03; -4.4999999E-01;2000;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -3.4804671E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  7.0998658E-07;  0.0000000E+00; -4.1904536E-06;  1.1477352E+00;
  7.0000000E-02;  9.9999998E-03; -4.4999999E-01;2030;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -3.2829439E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  1.4727399E-06;  0.0000000E+00; -4.7556837E-06;  3.3891871E+00;
  7.9999998E-02;  9.9999998E-03; -4.4999999E-01;2060;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -1.8266976E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  2.4067597E-06;  0.0000000E+00; -4.2334573E-06;  2.3627276E+00;
  9.0000004E-02;  9.9999998E-03; -4.4999999E-01;2090;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  9.9215299E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  3.3977465E-06;  0.0000000E+00; -2.4055935E-06;  3.7860274E+00;
  1.0000000E-01;  9.9999998E-03; -4.4999999E-01;2120;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  4.9527389E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  4.3068098E-06;  0.0000000E+00;  6.4592916E-07;  1.3748087E+01;
  1.1000000E-01;  9.9999998E-03; -4.4999999E-01;2150;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  9.5745545E-06;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  5.0137410E-06;  0.0000000E+00;  4.5608131E-06;  2.8158216E+01;
  1.2000000E-01;  9.9999998E-03; -4.4999999E-01;2180;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.4165065E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  5.3777649E-06;  0.0000000E+00;  8.7873004E-06;  4.8712231E+01;
  1.3000000E-01;  9.9999998E-03; -4.4999999E-01;2210;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.7737702E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  5.1720140E-06;  0.0000000E+00;  1.2565688E-05;  8.2680534E+01;
  1.4000000E-01;  9.9999998E-03; -4.4999999E-01;2240;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.9356439E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  4.2608922E-06;  0.0000000E+00;  1.5095547E-05;  1.4526918E+02;
  1.5000001E-01;  9.9999998E-03; -4.4999999E-01;2270;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.8703335E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  2.8341462E-06;  0.0000000E+00;  1.5869189E-05;  2.5948740E+02;
  1.6000000E-01;  9.9999998E-03; -4.4999999E-01;2300;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.6127406E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  1.3762042E-06;  0.0000000E+00;  1.4751201E-05;  4.5593842E+02;
  1.7000000E-01;  9.9999998E-03; -4.4999999E-01;2330;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.2382606E-05;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  5.0482117E-07;  0.0000000E+00;  1.1877784E-05;  7.7203467E+02;
